id,district,district_name,building_type,category,center_m,lot_size_m,footprint_m,rotation_deg,nearest_road,entrance_side,floors,layout_id,base_plan,footprint_shape,floorplan_family,bedrooms,bathrooms,entrance_offset,window_pattern,stair_pattern,roof,facade,palette,feature,condition,room_twist,design_signature,visual_signature,status
P011,Z01,西北森林与湖泊,detached_house,residential,"[249.4, 54.0]","[28.0, 40.2]","[17.3, 24.9]",0,R05,东,1,L011,H008,T形,侧走廊,1,1,-0.24,转角窗组,无楼梯,带前廊双坡,浅黄灰泥,砖红,前廊,杂草侵占,前置客厅,detached_house:011:407,"detached_house|T形|侧走廊|1|1|-0.24|转角窗组|无楼梯|带前廊双坡|浅黄灰泥|砖红|前廊|1|[17.3, 24.9]|前置客厅",planned
P012,Z01,西北森林与湖泊,forest_cabin,residential,"[264.5, 229.8]","[36.1, 41.3]","[22.4, 25.6]",0,R04,北,1,L012,H009,矩形,L形动线,2,1,0.24,凸窗组合,无楼梯,双坡,蓝灰木板,松绿,前廊,维护良好,独立餐厅,forest_cabin:012:444,"forest_cabin|矩形|L形动线|2|1|0.24|凸窗组合|无楼梯|双坡|蓝灰木板|松绿|前廊|1|[22.4, 25.6]|独立餐厅",planned
P013,Z02,北部农场带,rural_outbuilding,rural,"[595.4, 137.8]","[43.7, 60.7]","[25.4, 35.2]",0,R05,北,1,L013,N004,错位双矩形,rural_outbuilding-功能分区-04,0,1,0.05,前二侧一,无楼梯,带前廊双坡,蓝灰木板,浅青,前廊,杂草侵占,车库内门,rural_outbuilding:013:481,"rural_outbuilding|错位双矩形|rural_outbuilding-功能分区-04|0|1|0.05|前二侧一|无楼梯|带前廊双坡|蓝灰木板|浅青|前廊|1|[25.4, 35.2]|车库内门",planned
P014,Z02,北部农场带,barn,rural,"[530.7, 230.0]","[48.1, 51.1]","[27.9, 29.6]",90,R03,西,1,L014,N005,前凸形,barn-功能分区-05,0,1,-0.12,转角窗组,无楼梯,双坡,浅黄灰泥,砖红,前廊,维护良好,前置客厅,barn:014:518,"barn|前凸形|barn-功能分区-05|0|1|-0.12|转角窗组|无楼梯|双坡|浅黄灰泥|砖红|前廊|1|[27.9, 29.6]|前置客厅",planned
P015,Z02,北部农场带,rural_outbuilding,rural,"[650.9, 41.0]","[39.7, 63.7]","[23.0, 36.9]",90,R01,东,1,L015,N006,矩形,rural_outbuilding-功能分区-06,0,1,-0.29,凸窗组合,无楼梯,带前廊双坡,蓝灰木板,松绿,前廊,火灾熏黑,独立餐厅,rural_outbuilding:015:555,"rural_outbuilding|矩形|rural_outbuilding-功能分区-06|0|1|-0.29|凸窗组合|无楼梯|带前廊双坡|蓝灰木板|松绿|前廊|1|[23.0, 36.9]|独立餐厅",planned
P016,Z02,北部农场带,farmhouse,residential,"[675.9, 190.5]","[34.1, 35.9]","[21.1, 22.3]",90,R06,东,1,L016,H010,L形左翼,中央走廊,3,2,0.19,前一侧二,无楼梯,双坡,浅黄灰泥,浅青,前廊,屋顶轻损,车库内门,farmhouse:016:592,"farmhouse|L形左翼|中央走廊|3|2|0.19|前一侧二|无楼梯|双坡|浅黄灰泥|浅青|前廊|1|[21.1, 22.3]|车库内门",planned
P017,Z02,北部农场带,farmhouse,residential,"[399.2, 39.8]","[27.0, 36.9]","[16.7, 22.9]",0,R05,南,1,L017,H011,L形右翼,前厅分流,4,1,0.02,窄窗组合,无楼梯,带前廊双坡,蓝灰木板,砖红,前廊,杂草侵占,前置客厅,farmhouse:017:629,"farmhouse|L形右翼|前厅分流|4|1|0.02|窄窗组合|无楼梯|带前廊双坡|蓝灰木板|砖红|前廊|1|[16.7, 22.9]|前置客厅",planned
P018,Z02,北部农场带,barn,rural,"[650.9, 138.2]","[50.1, 54.6]","[29.0, 31.7]",0,R05,北,1,L018,N007,U形,barn-功能分区-07,0,1,-0.15,前二侧一,无楼梯,双坡,浅黄灰泥,松绿,前廊,维护良好,独立餐厅,barn:018:666,"barn|U形|barn-功能分区-07|0|1|-0.15|前二侧一|无楼梯|双坡|浅黄灰泥|松绿|前廊|1|[29.0, 31.7]|独立餐厅",planned
P019,Z02,北部农场带,farmhouse,residential,"[465.9, 304.6]","[24.3, 41.3]","[15.1, 25.6]",90,R03,东,1,L019,H012,前凸形,双区分隔,2,1,-0.32,转角窗组,无楼梯,带前廊双坡,蓝灰木板,浅青,前廊,火灾熏黑,车库内门,farmhouse:019:703,"farmhouse|前凸形|双区分隔|2|1|-0.32|转角窗组|无楼梯|带前廊双坡|蓝灰木板|浅青|前廊|1|[15.1, 25.6]|车库内门",planned
P020,Z02,北部农场带,farmhouse,residential,"[605.1, 209.3]","[33.3, 29.5]","[20.6, 18.3]",90,R03,西,1,L020,H013,后凸形,侧走廊,3,1,0.16,凸窗组合,无楼梯,双坡,浅黄灰泥,砖红,前廊,屋顶轻损,前置客厅,farmhouse:020:740,"farmhouse|后凸形|侧走廊|3|1|0.16|凸窗组合|无楼梯|双坡|浅黄灰泥|砖红|前廊|1|[20.6, 18.3]|前置客厅",planned
P021,Z02,北部农场带,farmhouse,residential,"[469.8, 192.5]","[37.1, 29.0]","[23.0, 18.0]",90,R03,东,1,L021,H014,主屋加侧翼,L形动线,4,2,-0.01,前一侧二,无楼梯,带前廊双坡,蓝灰木板,松绿,前廊,杂草侵占,独立餐厅,farmhouse:021:777,"farmhouse|主屋加侧翼|L形动线|4|2|-0.01|前一侧二|无楼梯|带前廊双坡|蓝灰木板|松绿|前廊|1|[23.0, 18.0]|独立餐厅",planned
P022,Z02,北部农场带,barn,rural,"[374.8, 288.2]","[43.8, 54.7]","[25.4, 31.8]",90,R12,南,1,L022,N008,U形,barn-功能分区-08,0,1,-0.18,窄窗组合,无楼梯,双坡,浅黄灰泥,浅青,前廊,维护良好,车库内门,barn:022:814,"barn|U形|barn-功能分区-08|0|1|-0.18|窄窗组合|无楼梯|双坡|浅黄灰泥|浅青|前廊|1|[25.4, 31.8]|车库内门",planned
P023,Z02,北部农场带,rural_outbuilding,rural,"[458.1, 38.1]","[41.9, 43.0]","[24.3, 24.9]",0,R05,南,1,L023,N009,主屋加侧翼,rural_outbuilding-功能分区-09,0,1,0.3,前二侧一,无楼梯,带前廊双坡,蓝灰木板,砖红,前廊,火灾熏黑,前置客厅,rural_outbuilding:023:851,"rural_outbuilding|主屋加侧翼|rural_outbuilding-功能分区-09|0|1|0.3|前二侧一|无楼梯|带前廊双坡|蓝灰木板|砖红|前廊|1|[24.3, 24.9]|前置客厅",planned
P024,Z02,北部农场带,detached_house,residential,"[384.0, 241.4]","[30.6, 35.1]","[18.9, 21.8]",0,R04,北,2,L024,H015,错位双矩形,环形动线,4,1,0.13,转角窗组,中央折梯,双坡,浅黄灰泥,松绿,前廊,屋顶轻损,独立餐厅,detached_house:024:888,"detached_house|错位双矩形|环形动线|4|1|0.13|转角窗组|中央折梯|双坡|浅黄灰泥|松绿|前廊|2|[18.9, 21.8]|独立餐厅",planned
P025,Z02,北部农场带,farmhouse,residential,"[600.5, 31.7]","[25.5, 40.5]","[15.8, 25.1]",0,R05,南,1,L025,H016,T形,开放核心,3,2,-0.04,凸窗组合,无楼梯,带前廊双坡,蓝灰木板,浅青,前廊,杂草侵占,车库内门,farmhouse:025:925,"farmhouse|T形|开放核心|3|2|-0.04|凸窗组合|无楼梯|带前廊双坡|蓝灰木板|浅青|前廊|1|[15.8, 25.1]|车库内门",planned
P026,Z02,北部农场带,rural_outbuilding,rural,"[646.4, 295.5]","[58.5, 48.3]","[33.9, 28.0]",90,R13,南,1,L026,N010,后凸形,rural_outbuilding-功能分区-10,0,1,-0.21,前一侧二,无楼梯,双坡,浅黄灰泥,砖红,前廊,维护良好,前置客厅,rural_outbuilding:026:962,"rural_outbuilding|后凸形|rural_outbuilding-功能分区-10|0|1|-0.21|前一侧二|无楼梯|双坡|浅黄灰泥|砖红|前廊|1|[33.9, 28.0]|前置客厅",planned
P027,Z02,北部农场带,farmhouse,residential,"[413.4, 175.9]","[34.8, 43.7]","[21.6, 27.1]",0,R04,北,1,L027,H017,矩形,纵深串联,4,1,0.27,窄窗组合,无楼梯,带前廊双坡,蓝灰木板,松绿,前廊,火灾熏黑,独立餐厅,farmhouse:027:002,"farmhouse|矩形|纵深串联|4|1|0.27|窄窗组合|无楼梯|带前廊双坡|蓝灰木板|松绿|前廊|1|[21.6, 27.1]|独立餐厅",planned
P028,Z02,北部农场带,barn,rural,"[531.8, 128.7]","[53.2, 65.3]","[30.9, 37.9]",90,R03,西,1,L028,N011,L形右翼,barn-功能分区-11,0,2,0.1,前二侧一,无楼梯,双坡,浅黄灰泥,浅青,前廊,屋顶轻损,车库内门,barn:028:039,"barn|L形右翼|barn-功能分区-11|0|2|0.1|前二侧一|无楼梯|双坡|浅黄灰泥|浅青|前廊|1|[30.9, 37.9]|车库内门",planned
P029,Z02,北部农场带,barn,rural,"[384.6, 123.5]","[55.7, 42.5]","[32.3, 24.6]",0,R04,南,1,L029,N012,U形,barn-功能分区-12,0,1,-0.07,转角窗组,无楼梯,带前廊双坡,蓝灰木板,砖红,前廊,杂草侵占,前置客厅,barn:029:076,"barn|U形|barn-功能分区-12|0|1|-0.07|转角窗组|无楼梯|带前廊双坡|蓝灰木板|砖红|前廊|1|[32.3, 24.6]|前置客厅",planned
P030,Z02,北部农场带,rural_outbuilding,rural,"[570.5, 280.1]","[38.6, 50.4]","[22.4, 29.3]",90,R03,西,1,L030,N013,主屋加侧翼,rural_outbuilding-功能分区-13,0,1,-0.24,凸窗组合,无楼梯,双坡,浅黄灰泥,松绿,前廊,维护良好,独立餐厅,rural_outbuilding:030:113,"rural_outbuilding|主屋加侧翼|rural_outbuilding-功能分区-13|0|1|-0.24|凸窗组合|无楼梯|双坡|浅黄灰泥|松绿|前廊|1|[22.4, 29.3]|独立餐厅",planned
P031,Z02,北部农场带,farmhouse,residential,"[452.1, 264.9]","[36.2, 38.7]","[22.4, 24.0]",90,R03,东,1,L031,H018,L形左翼,中央走廊,2,1,0.24,前一侧二,无楼梯,带前廊双坡,蓝灰木板,浅青,前廊,火灾熏黑,车库内门,farmhouse:031:150,"farmhouse|L形左翼|中央走廊|2|1|0.24|前一侧二|无楼梯|带前廊双坡|蓝灰木板|浅青|前廊|1|[22.4, 24.0]|车库内门",planned
P032,Z02,北部农场带,barn,rural,"[538.9, 53.5]","[42.7, 58.6]","[24.8, 34.0]",0,R05,南,1,L032,N014,前凸形,barn-功能分区-14,0,1,0.07,窄窗组合,无楼梯,双坡,浅黄灰泥,砖红,前廊,屋顶轻损,前置客厅,barn:032:187,"barn|前凸形|barn-功能分区-14|0|1|0.07|窄窗组合|无楼梯|双坡|浅黄灰泥|砖红|前廊|1|[24.8, 34.0]|前置客厅",planned
P033,Z02,北部农场带,barn,rural,"[458.5, 117.4]","[39.6, 58.0]","[23.0, 33.6]",0,R04,南,1,L033,N015,矩形,barn-功能分区-15,0,1,-0.1,前二侧一,无楼梯,带前廊双坡,蓝灰木板,松绿,前廊,杂草侵占,独立餐厅,barn:033:224,"barn|矩形|barn-功能分区-15|0|1|-0.1|前二侧一|无楼梯|带前廊双坡|蓝灰木板|松绿|前廊|1|[23.0, 33.6]|独立餐厅",planned
P034,Z02,北部农场带,detached_house,residential,"[639.5, 248.6]","[25.8, 29.1]","[16.0, 18.1]",90,R06,东,1,L034,H019,L形右翼,前厅分流,4,1,-0.27,转角窗组,无楼梯,双坡,浅黄灰泥,浅青,前廊,维护良好,车库内门,detached_house:034:261,"detached_house|L形右翼|前厅分流|4|1|-0.27|转角窗组|无楼梯|双坡|浅黄灰泥|浅青|前廊|1|[16.0, 18.1]|车库内门",planned
P035,Z03,东北公路服务区,diner,commercial,"[864.3, 86.3]","[33.0, 43.7]","[23.7, 31.5]",0,R06,南,1,L035,N016,T形,diner-功能分区-16,0,1,-0.26,窄窗组合,无楼梯,低坡顶,红砖,暗黄,后露台,维护良好,储藏间,diner:035:298,"diner|T形|diner-功能分区-16|0|1|-0.26|窄窗组合|无楼梯|低坡顶|红砖|暗黄|后露台|1|[23.7, 31.5]|储藏间",planned
P036,Z03,东北公路服务区,motel_unit,residential,"[762.6, 68.7]","[36.8, 43.8]","[22.8, 27.2]",90,R01,西,1,L036,H020,前凸形,环形动线,1,1,0.22,前二侧一,无楼梯,L形双坡,米色石材,土褐,后露台,火灾熏黑,狭长走廊,motel_unit:036:335,"motel_unit|前凸形|环形动线|1|1|0.22|前二侧一|无楼梯|L形双坡|米色石材|土褐|后露台|1|[22.8, 27.2]|狭长走廊",planned
P037,Z03,东北公路服务区,motel_unit,residential,"[880.6, 198.7]","[29.9, 30.5]","[18.6, 18.9]",0,R01,南,1,L037,H021,后凸形,开放核心,1,1,0.05,转角窗组,无楼梯,低坡顶,红砖,橄榄,后露台,屋顶轻损,封闭阳台,motel_unit:037:372,"motel_unit|后凸形|开放核心|1|1|0.05|转角窗组|无楼梯|低坡顶|红砖|橄榄|后露台|1|[18.6, 18.9]|封闭阳台",planned
P038,Z03,东北公路服务区,warehouse,industrial,"[986.6, 140.6]","[50.8, 52.5]","[38.6, 39.9]",0,R06,南,1,L038,N017,错位双矩形,warehouse-功能分区-17,0,2,-0.12,凸窗组合,无楼梯,L形双坡,米色石材,暗黄,后露台,杂草侵占,储藏间,warehouse:038:409,"warehouse|错位双矩形|warehouse-功能分区-17|0|2|-0.12|凸窗组合|无楼梯|L形双坡|米色石材|暗黄|后露台|1|[38.6, 39.9]|储藏间",planned
P039,Z03,东北公路服务区,auto_shop,commercial,"[989.5, 303.9]","[36.7, 38.7]","[26.4, 27.9]",0,R01,北,1,L039,N018,前凸形,auto_shop-功能分区-18,0,1,-0.29,前一侧二,无楼梯,低坡顶,红砖,土褐,后露台,维护良好,狭长走廊,auto_shop:039:446,"auto_shop|前凸形|auto_shop-功能分区-18|0|1|-0.29|前一侧二|无楼梯|低坡顶|红砖|土褐|后露台|1|[26.4, 27.9]|狭长走廊",planned
P040,Z03,东北公路服务区,detached_house,residential,"[906.9, 303.2]","[24.9, 28.4]","[15.5, 17.6]",0,R06,北,2,L040,H022,主屋加侧翼,纵深串联,3,2,0.19,窄窗组合,中央折梯,L形双坡,米色石材,橄榄,后露台,火灾熏黑,封闭阳台,detached_house:040:483,"detached_house|主屋加侧翼|纵深串联|3|2|0.19|窄窗组合|中央折梯|L形双坡|米色石材|橄榄|后露台|2|[15.5, 17.6]|封闭阳台",planned
P041,Z03,东北公路服务区,motel_unit,residential,"[988.2, 240.5]","[28.2, 34.8]","[17.5, 21.6]",0,R01,南,1,L041,H023,错位双矩形,中央走廊,1,1,0.02,前二侧一,无楼梯,低坡顶,红砖,暗黄,后露台,屋顶轻损,储藏间,motel_unit:041:520,"motel_unit|错位双矩形|中央走廊|1|1|0.02|前二侧一|无楼梯|低坡顶|红砖|暗黄|后露台|1|[17.5, 21.6]|储藏间",planned
P042,Z03,东北公路服务区,detached_house,residential,"[812.0, 304.4]","[28.3, 29.0]","[17.6, 18.0]",0,R06,北,1,L042,H024,T形,前厅分流,1,1,-0.15,转角窗组,无楼梯,L形双坡,米色石材,土褐,后露台,杂草侵占,狭长走廊,detached_house:042:557,"detached_house|T形|前厅分流|1|1|-0.15|转角窗组|无楼梯|L形双坡|米色石材|土褐|后露台|1|[17.6, 18.0]|狭长走廊",planned
P043,Z03,东北公路服务区,detached_house,residential,"[815.3, 93.3]","[26.7, 39.7]","[16.5, 24.6]",0,R06,南,1,L043,H025,矩形,双区分隔,2,1,-0.32,凸窗组合,无楼梯,低坡顶,红砖,橄榄,后露台,维护良好,封闭阳台,detached_house:043:594,"detached_house|矩形|双区分隔|2|1|-0.32|凸窗组合|无楼梯|低坡顶|红砖|橄榄|后露台|1|[16.5, 24.6]|封闭阳台",planned
P044,Z03,东北公路服务区,auto_shop,commercial,"[924.3, 56.1]","[28.1, 40.8]","[20.2, 29.3]",0,R06,南,1,L044,N019,后凸形,auto_shop-功能分区-19,0,1,0.16,前一侧二,无楼梯,L形双坡,米色石材,暗黄,后露台,火灾熏黑,储藏间,auto_shop:044:631,"auto_shop|后凸形|auto_shop-功能分区-19|0|1|0.16|前一侧二|无楼梯|L形双坡|米色石材|暗黄|后露台|1|[20.2, 29.3]|储藏间",planned
P045,Z03,东北公路服务区,detached_house,residential,"[1000.5, 192.7]","[37.4, 37.0]","[23.2, 22.9]",90,R06,西,1,L045,H026,L形左翼,侧走廊,3,2,-0.01,窄窗组合,无楼梯,低坡顶,红砖,土褐,后露台,屋顶轻损,狭长走廊,detached_house:045:668,"detached_house|L形左翼|侧走廊|3|2|-0.01|窄窗组合|无楼梯|低坡顶|红砖|土褐|后露台|1|[23.2, 22.9]|狭长走廊",planned
P046,Z03,东北公路服务区,convenience_store,commercial,"[928.0, 113.6]","[30.4, 50.5]","[21.9, 36.4]",0,R06,南,1,L046,N020,L形右翼,convenience_store-功能分区-20,0,1,-0.18,前二侧一,无楼梯,L形双坡,米色石材,橄榄,后露台,杂草侵占,封闭阳台,convenience_store:046:705,"convenience_store|L形右翼|convenience_store-功能分区-20|0|1|-0.18|前二侧一|无楼梯|L形双坡|米色石材|橄榄|后露台|1|[21.9, 36.4]|封闭阳台",planned
P047,Z03,东北公路服务区,warehouse,industrial,"[791.5, 231.9]","[65.1, 68.4]","[49.4, 52.0]",0,R06,南,1,L047,N021,U形,warehouse-功能分区-21,0,2,0.3,转角窗组,无楼梯,低坡顶,红砖,暗黄,后露台,维护良好,储藏间,warehouse:047:742,"warehouse|U形|warehouse-功能分区-21|0|2|0.3|转角窗组|无楼梯|低坡顶|红砖|暗黄|后露台|1|[49.4, 52.0]|储藏间",planned
P048,Z03,东北公路服务区,motel_unit,residential,"[953.1, 194.8]","[26.7, 31.6]","[16.5, 19.6]",90,R06,东,1,L048,H027,L形右翼,L形动线,1,1,0.13,凸窗组合,无楼梯,L形双坡,米色石材,土褐,后露台,火灾熏黑,狭长走廊,motel_unit:048:779,"motel_unit|L形右翼|L形动线|1|1|0.13|凸窗组合|无楼梯|L形双坡|米色石材|土褐|后露台|1|[16.5, 19.6]|狭长走廊",planned
P049,Z03,东北公路服务区,motel_unit,residential,"[776.0, 28.4]","[28.7, 37.7]","[17.8, 23.4]",90,R01,西,1,L049,H028,前凸形,环形动线,1,1,-0.04,前一侧二,无楼梯,低坡顶,红砖,橄榄,后露台,屋顶轻损,封闭阳台,motel_unit:049:816,"motel_unit|前凸形|环形动线|1|1|-0.04|前一侧二|无楼梯|低坡顶|红砖|橄榄|后露台|1|[17.8, 23.4]|封闭阳台",planned
P050,Z03,东北公路服务区,gas_station,commercial,"[771.0, 290.7]","[36.3, 38.3]","[26.1, 27.5]",0,R06,北,1,L050,N022,T形,gas_station-功能分区-22,0,1,-0.21,窄窗组合,无楼梯,L形双坡,米色石材,暗黄,后露台,杂草侵占,储藏间,gas_station:050:853,"gas_station|T形|gas_station-功能分区-22|0|1|-0.21|窄窗组合|无楼梯|L形双坡|米色石材|暗黄|后露台|1|[26.1, 27.5]|储藏间",planned
P051,Z04,西部老旧住宅区,detached_house,residential,"[166.8, 542.4]","[24.7, 43.5]","[15.3, 27.0]",0,R02,北,1,L051,H029,后凸形,前厅分流,2,1,-0.19,转角窗组,无楼梯,平顶,红砖,橄榄,侧翼扩建,维护良好,封闭阳台,detached_house:051:890,"detached_house|后凸形|前厅分流|2|1|-0.19|转角窗组|无楼梯|平顶|红砖|橄榄|侧翼扩建|1|[15.3, 27.0]|封闭阳台",planned
P052,Z04,西部老旧住宅区,detached_house,residential,"[191.4, 397.9]","[34.5, 37.2]","[21.4, 23.1]",0,R07,北,2,L052,H030,主屋加侧翼,双区分隔,3,2,0.29,凸窗组合,客厅转角梯,错层双坡,米色石材,暗黄,侧翼扩建,火灾熏黑,储藏间,detached_house:052:927,"detached_house|主屋加侧翼|双区分隔|3|2|0.29|凸窗组合|客厅转角梯|错层双坡|米色石材|暗黄|侧翼扩建|2|[21.4, 23.1]|储藏间",planned
P053,Z04,西部老旧住宅区,detached_house,residential,"[276.1, 448.3]","[29.1, 38.6]","[18.0, 23.9]",90,R07,东,1,L053,H031,错位双矩形,侧走廊,4,1,0.12,前一侧二,无楼梯,平顶,红砖,土褐,侧翼扩建,屋顶轻损,狭长走廊,detached_house:053:964,"detached_house|错位双矩形|侧走廊|4|1|0.12|前一侧二|无楼梯|平顶|红砖|土褐|侧翼扩建|1|[18.0, 23.9]|狭长走廊",planned
P054,Z04,西部老旧住宅区,detached_house,residential,"[176.7, 443.7]","[34.4, 40.6]","[21.3, 25.2]",90,R09,东,1,L054,H032,T形,L形动线,1,1,-0.05,窄窗组合,无楼梯,错层双坡,米色石材,橄榄,侧翼扩建,杂草侵占,封闭阳台,detached_house:054:004,"detached_house|T形|L形动线|1|1|-0.05|窄窗组合|无楼梯|错层双坡|米色石材|橄榄|侧翼扩建|1|[21.3, 25.2]|封闭阳台",planned
P055,Z04,西部老旧住宅区,duplex,residential,"[266.7, 568.7]","[26.4, 29.0]","[16.4, 18.0]",90,R07,东,1,L055,H033,矩形,环形动线,2,1,-0.22,前二侧一,无楼梯,平顶,红砖,暗黄,侧翼扩建,维护良好,储藏间,duplex:055:041,"duplex|矩形|环形动线|2|1|-0.22|前二侧一|无楼梯|平顶|红砖|暗黄|侧翼扩建|1|[16.4, 18.0]|储藏间",planned
P056,Z04,西部老旧住宅区,detached_house,residential,"[63.1, 530.3]","[28.6, 37.2]","[17.7, 23.1]",90,R07,西,2,L056,H034,L形左翼,开放核心,3,2,0.26,转角窗组,后部直梯,错层双坡,米色石材,土褐,侧翼扩建,火灾熏黑,狭长走廊,detached_house:056:078,"detached_house|L形左翼|开放核心|3|2|0.26|转角窗组|后部直梯|错层双坡|米色石材|土褐|侧翼扩建|2|[17.7, 23.1]|狭长走廊",planned
P057,Z04,西部老旧住宅区,detached_house,residential,"[61.0, 462.3]","[32.7, 29.8]","[20.3, 18.5]",90,R07,西,1,L057,H035,L形右翼,纵深串联,4,1,0.09,凸窗组合,无楼梯,平顶,红砖,橄榄,侧翼扩建,屋顶轻损,封闭阳台,detached_house:057:115,"detached_house|L形右翼|纵深串联|4|1|0.09|凸窗组合|无楼梯|平顶|红砖|橄榄|侧翼扩建|1|[20.3, 18.5]|封闭阳台",planned
P058,Z04,西部老旧住宅区,detached_house,residential,"[317.6, 565.1]","[28.4, 33.9]","[17.6, 21.0]",90,R07,西,1,L058,H036,前凸形,中央走廊,1,1,-0.08,前一侧二,无楼梯,错层双坡,米色石材,暗黄,侧翼扩建,杂草侵占,储藏间,detached_house:058:152,"detached_house|前凸形|中央走廊|1|1|-0.08|前一侧二|无楼梯|错层双坡|米色石材|暗黄|侧翼扩建|1|[17.6, 21.0]|储藏间",planned
